Date/Time,roomTemp (deg C),defroStat,compStat,evapStat
19-04-2024 14:14,8.8,OFF,OFF,OFF
19-04-2024 14:43,-13.4,OFF,ON,ON
19-04-2024 15:12,-14.9,OFF,ON,ON
19-04-2024 15:41,-16.2,OFF,ON,ON
19-04-2024 16:07,-17,OFF,ON,ON
19-04-2024 16:36,-17.5,OFF,ON,ON
19-04-2024 16:54,-17.7,ON,OFF,OFF
19-04-2024 17:23,3.3,OFF,ON,OFF
19-04-2024 17:24,-0.1,OFF,ON,ON
19-04-2024 17:53,-15.5,OFF,ON,ON
19-04-2024 18:22,-16.6,OFF,ON,ON
19-04-2024 18:51,-17.4,OFF,ON,ON
19-04-2024 19:20,-18.5,OFF,ON,ON
19-04-2024 19:49,-19.2,OFF,ON,ON
19-04-2024 19:54,-19.3,ON,OFF,OFF
19-04-2024 20:14,10.2,OFF,OFF,OFF
19-04-2024 20:24,0.6,OFF,ON,ON
19-04-2024 20:53,-16.8,OFF,ON,ON
19-04-2024 21:22,-18.4,OFF,ON,ON
19-04-2024 21:51,-19.2,OFF,ON,ON
19-04-2024 22:20,-17.5,OFF,ON,ON
19-04-2024 22:49,-19.2,OFF,ON,ON
19-04-2024 23:14,8.7,OFF,OFF,OFF
19-04-2024 23:43,-16.3,OFF,ON,ON
20-04-2024 00:12,-18.5,OFF,ON,ON
20-04-2024 00:41,-19.6,OFF,ON,ON
20-04-2024 01:10,-19.6,OFF,ON,ON
20-04-2024 01:39,-19.9,OFF,ON,ON
20-04-2024 01:41,-20,OFF,OFF,ON
20-04-2024 01:54,-19.6,ON,OFF,OFF
20-04-2024 02:23,2.9,OFF,ON,OFF
20-04-2024 02:52,-17.6,OFF,ON,ON
20-04-2024 03:21,-19.3,OFF,ON,ON
20-04-2024 03:50,-19.4,OFF,ON,ON
20-04-2024 04:19,-19.5,OFF,OFF,ON
20-04-2024 04:48,-19.8,OFF,ON,ON
20-04-2024 04:50,-20,OFF,OFF,ON
20-04-2024 05:13,10.7,OFF,OFF,OFF
20-04-2024 05:23,0.3,OFF,ON,ON
20-04-2024 05:52,-12.9,OFF,ON,ON
20-04-2024 06:21,-12.3,OFF,ON,ON
20-04-2024 06:50,-12.4,OFF,ON,ON
20-04-2024 07:19,-13.9,OFF,ON,ON
20-04-2024 07:48,-14.9,OFF,ON,ON
20-04-2024 08:17,12,OFF,OFF,OFF
20-04-2024 08:46,-13.1,OFF,ON,ON
20-04-2024 09:15,-15.4,OFF,ON,ON
20-04-2024 09:44,-16.4,OFF,ON,ON
20-04-2024 10:13,-14.8,OFF,ON,ON
20-04-2024 10:42,-17,OFF,ON,ON
20-04-2024 10:53,-17.3,ON,OFF,OFF
20-04-2024 11:22,3.2,OFF,ON,OFF
20-04-2024 11:51,-15.4,OFF,ON,ON
20-04-2024 12:20,-14.6,OFF,ON,ON
20-04-2024 12:49,-16.8,OFF,ON,ON
20-04-2024 13:18,-17.8,OFF,ON,ON
20-04-2024 13:47,-18.5,OFF,ON,ON
20-04-2024 13:53,-18.7,ON,OFF,OFF
20-04-2024 14:42,-15.5,OFF,ON,ON
20-04-2024 15:11,-18,OFF,ON,ON
20-04-2024 15:40,-19.3,OFF,ON,ON
20-04-2024 16:09,-18,OFF,ON,ON
20-04-2024 16:39,-18.4,OFF,ON,ON
20-04-2024 16:53,-19.7,ON,OFF,OFF
20-04-2024 17:22,3.7,OFF,ON,OFF
20-04-2024 17:51,-14.4,OFF,ON,ON
20-04-2024 18:20,-17.7,OFF,ON,ON
20-04-2024 18:49,-19.1,OFF,ON,ON
20-04-2024 19:18,-19.8,OFF,ON,ON
20-04-2024 19:28,-20,OFF,OFF,ON
20-04-2024 19:53,-19.5,ON,OFF,OFF
20-04-2024 20:22,3.2,OFF,ON,OFF
20-04-2024 20:51,-17.4,OFF,ON,ON
20-04-2024 21:20,-19.5,OFF,ON,ON
20-04-2024 21:49,-18.2,OFF,ON,ON
20-04-2024 22:18,-19.5,OFF,ON,ON
20-04-2024 22:29,-20,OFF,OFF,ON
20-04-2024 22:58,-13.8,ON,OFF,OFF
20-04-2024 23:22,0.1,OFF,ON,ON
20-04-2024 23:51,-17.1,OFF,ON,ON
21-04-2024 00:20,-19,OFF,ON,ON
21-04-2024 00:48,-20,OFF,OFF,ON
21-04-2024 01:16,-20,OFF,OFF,ON
21-04-2024 01:45,-19.8,OFF,ON,ON
21-04-2024 01:52,-18.5,ON,OFF,OFF
21-04-2024 02:21,5.3,OFF,ON,OFF
21-04-2024 02:50,-17.1,OFF,ON,ON
21-04-2024 03:19,-13.4,OFF,ON,ON
21-04-2024 03:48,-16.1,OFF,ON,ON
21-04-2024 04:17,-17.3,OFF,ON,ON
21-04-2024 04:46,-18.2,OFF,ON,ON
21-04-2024 05:12,10.7,OFF,OFF,OFF
21-04-2024 05:41,-6,OFF,ON,ON
21-04-2024 05:47,-7,OFF,ON,ON
21-04-2024 06:16,-8.9,OFF,ON,ON
