Date/Time,roomTemp (deg C),evapTemp (deg C),defroStat,compStat,evapStat
19-04-2024 14:38,-18.1,-36,OFF,ON,ON
19-04-2024 15:07,-18.4,-36.3,OFF,ON,ON
19-04-2024 15:16,-17.5,-36,ON,OFF,OFF
19-04-2024 15:36,-0.6,-8.9,OFF,OFF,OFF
19-04-2024 15:41,-1.4,-14.9,OFF,ON,ON
19-04-2024 16:06,-13.5,-31.9,OFF,ON,ON
19-04-2024 16:35,-15.6,-33.9,OFF,ON,ON
19-04-2024 17:04,-16.2,-34.6,OFF,ON,ON
19-04-2024 17:28,-15.4,-34.3,OFF,ON,ON
19-04-2024 17:57,-14,-34,OFF,ON,ON
19-04-2024 18:15,-15.5,-35,ON,OFF,OFF
19-04-2024 18:35,-1.3,-8.6,OFF,OFF,OFF
19-04-2024 18:38,-0.6,-8.6,OFF,OFF,ON
19-04-2024 18:40,-1.7,-13,OFF,ON,ON
19-04-2024 19:09,-14.8,-32.8,OFF,ON,ON
19-04-2024 19:38,-11.7,-31.6,OFF,ON,ON
19-04-2024 20:07,-11.6,-32.4,OFF,ON,ON
19-04-2024 20:36,-15.4,-34.5,OFF,ON,ON
19-04-2024 21:05,-16.3,-35.2,OFF,ON,ON
19-04-2024 21:14,-16.5,-35.3,ON,OFF,OFF
19-04-2024 21:39,-4,-15.5,OFF,ON,ON
19-04-2024 22:08,-15.6,-33.4,OFF,ON,ON
19-04-2024 22:37,-15.9,-33.9,OFF,ON,ON
19-04-2024 23:06,-17.3,-35.1,OFF,ON,ON
19-04-2024 23:35,-17.4,-35.5,OFF,ON,ON
20-04-2024 00:04,-17.7,-35.9,OFF,ON,ON
20-04-2024 00:33,-0.6,-8.1,OFF,OFF,OFF
20-04-2024 00:36,-0.3,-8.1,OFF,OFF,ON
20-04-2024 00:38,-3.2,-14.3,OFF,ON,ON
20-04-2024 01:07,-16.3,-33.9,OFF,ON,ON
20-04-2024 01:36,-17.8,-35.2,OFF,ON,ON
20-04-2024 02:05,-18.5,-35.9,OFF,ON,ON
20-04-2024 02:34,-18.9,-36.3,OFF,ON,ON
20-04-2024 03:03,-19.1,-36.5,OFF,ON,ON
20-04-2024 03:12,-19.2,-36.6,ON,OFF,OFF
20-04-2024 03:32,-0.8,-8.4,OFF,OFF,OFF
20-04-2024 03:35,-0.5,-8.5,OFF,OFF,ON
20-04-2024 03:37,-4.9,-15.2,OFF,ON,ON
